date,description,expense/income,amount
2023-03-13,,Income,39256.0
16-01-2023,Zomato Order,Expense,460.0
2023-04-23,Cashback,Income,64987.0
2023-05-23,Bonus,Income,54597.0
2023-06-26,Zomato Order,Expense,3140.0
2023-02-10,Movie Tickets,Expense,3300.0
05-02-2023,Netflix Subscription,Expense,5971.0
2023-07-14,Monthly Salary,Income,23238.0
2023-12-26,Freelance Payment,Income,44993.0
2023-03-25,Bonus,Income,42087.0
2023-01-29,Refund,Income,52504.0
2023-04-19,Freelance Payment,Income,51245.0
2023-05-07,Interest Received,Income,28301.0
2023-07-05,Interest Received,Income,62350.0
2023-03-20,Zomato Order,Expense,1098.0
2023-08-28,Zomato Order,Expense,5081.0
2023-12-16,Swiggy Order,Expense,1138.0
2023-03-22,Netflix Subscription,Expense,3761.0
2023-09-17,Electricity Bill,Expense,1663.0
2023-07-11,Movie Tickets,Expense,1452.0
08-09-2023,Cashback,Income,52487.0
2023-10-18,Electricity Bill,Expense,2173.0
2023-03-06,Monthly Salary,Income,79822.0
2023-04-19,Freelance Payment,Income,65461.0
2023-11-29,Electricity Bill,Expense,5702.0
2023-01-11,Fuel Payment,Expense,2969.0
28-04-2023,Monthly Salary,Income,17716.0
2023-04-20,Cashback,Income,73624.0
2023-07-28,Grocery Store,Expense,4074.0
2023-12-11,Interest Received,Income,17100.0
2023-05-08,Refund,Income,24322.0
2023-02-08,Bonus,Income,42742.0
2023-01-08,Swiggy Order,Expense,4628.0
2023-04-20,Uber Ride,Expense,4143.0
2023-08-21,Swiggy Order,Expense,2372.0
2023-03-21,Movie Tickets,Expense,4186.0
30-01-2023,Refund,Income,51104.0
2023-02-11,Cashback,Income,76562.0
2023-10-24,Bonus,Income,42271.0
2023-05-14,Cashback,Income,51467.0
2023-06-03,Amazon Purchase,Expense,5487.0
21-02-2023,Swiggy Order,Expense,4812.0
2023-07-09,Freelance Payment,Income,42018.0
2023-01-05,Freelance Payment,Income,79329.0
2023-05-16,Monthly Salary,Income,27601.0
2023-06-25,Freelance Payment,Income,37607.0
2023-02-17,Interest Received,Income,16658.0
2023-05-15,Netflix Subscription,Expense,5419.0
